"ibge.municode","uf","muni","electorate.96","comp.voting.98","depfedbranconulo98.pct","blank.inv.96","poverty_high_1991","frac_25_illit_1991","gini_1991","pt_pres_1994","latitude","longitude"
1100023,"RO","ARIQUEMES",40356,"0",31.3817710022705,12.304,54.3530006408691,21.3619995117188,0.572000026702881,11.1298529701161,-9.91333293914795,63.0408325195312
1100031,"RO","CABIXI",4935,"0",28.7242578229473,7.554,79.3629989624023,30.80299949646,0.624000012874603,21.6070357785329,-13.4977779388428,60.5541648864746
1100049,"RO","CACOAL",43452,"1",7.14392691328441,15.006,59.1780014038086,27.5440006256104,0.648999989032745,13.9780617892724,-11.4386110305786,61.4472236633301
1100056,"RO","CEREJEIRAS",15591,"0",26.8810107486328,10.99,66.2259979248047,27.6189994812012,0.601999998092651,11.871911698646,-13.1888885498047,60.8122215270996
1100064,"RO","COLORADO DO OESTE",18054,"0",32.284231018819,9.66,68.7529983520508,34.6749992370605,0.612999975681305,12.169584620666,-13.1166667938232,60.5416679382324
1100072,"RO","CORUMBIARA",5173,"0",28.9616078330327,10.518,88.6750030517578,42.4500007629395,0.554000020027161,15.0973291081938,-12.9619445800781,60.8866653442383
1100080,"RO","COSTA MARQUES",5737,"0",24.1157556270096,14.112,70.7369995117188,27.2490005493164,0.635999977588654,5.73419078242229,-12.4449996948242,64.2272186279297
1100098,"RO","ESPIGAO D'OESTE",15209,"0",32.8832087452777,9.485,61.576000213623,27.5659999847412,0.632000029087067,12.6962863734465,-11.5247220993042,61.0127792358398
1100106,"RO","GUAJARA MIRIM",21354,"0",18.7907142011133,12.32,50.7669982910156,21.2740001678467,0.601999998092651,6.36119155978486,-10.7827777862549,65.3394470214844
1100114,"RO","JARU",35792,"0",26.0316616681219,14.335,62.0180015563965,31.80299949646,0.551999986171722,13.2757860248252,-10.4388885498047,62.4663887023926
1100122,"RO","JI PARANA",64102,"1",9.34153713298791,13.499,51.273998260498,22.4500007629395,0.561999976634979,14.3341537720098,-10.8852777481079,61.9516677856445
1100130,"RO","MACHADINHO DO OESTE",8653,"0",24.8640356993446,11.675,57.701000213623,27.1319999694824,0.561999976634979,12.9672625957743,-9.4438886642456,61.981388092041
1100148,"RO","NOVA BRASILANDIA",11742,"0",25.9866798223976,10.937,80.8079986572266,41.7809982299805,0.497000008821487,14.2300574656667,-11.7197217941284,62.3158340454102
1100155,"RO","OURO PRETO DO OESTE",27016,"0",36.7446344309706,11.155,58.6720008850098,27.8409996032715,0.597000002861023,13.4669945148477,-10.7480554580688,62.2158317565918
1100189,"RO","PIMENTA BUENO",21731,"0",28.5814160416931,13.139,51.701000213623,24.0949993133545,0.583000004291534,15.1621196971861,-11.6724996566772,61.1936111450195
1100254,"RO","PRESIDENTE MEDICI",19818,"0",30.6297081840123,12.468,72.0739974975586,36.326000213623,0.51800000667572,12.3971829471534,-11.1752777099609,61.9013900756836
1100262,"RO","RIO CRESPO",2743,"0",30.2258251302837,9.795,70.2190017700195,32.2840003967285,0.503000020980835,13.7199068081802,-9.70499992370605,62.8997230529785
1100288,"RO","ROLIM DE MOURA",28450,"0",27.0631238577253,12.452,58.7099990844727,29.9699993133545,0.578000009059906,11.3486217632318,-11.8036108016968,61.8033332824707
1100296,"RO","SANTA LUZIA DO OESTE",8582,"0",30.1634968301635,10.478,84.2959976196289,36.3819999694824,0.528999984264374,16.516762060507,-11.908055305481,61.7788887023926
1100304,"RO","VILHENA",28188,"0",23.6772921459086,10.534,36.5890007019043,17.8409996032715,0.578999996185303,12.023125784489,-12.7405557632446,60.1458320617676
1100320,"RO","SAO MIGUEL DO GUAPORE",8119,"0",24.8635743519782,8.84,88.2519989013672,36.4339981079102,0.600000023841858,16.4047151277014,-11.6936111450195,62.7113876342773
1100338,"RO","NOVA MAMORE",6619,"0",28.4658040665434,14.442,69.3870010375977,39.1570014953613,0.523000001907349,5.94475946588623,-10.4019441604614,65.3266677856445
1100346,"RO","ALVORADA DO OESTE",15181,"0",29.5668355215548,10.32,77.1529998779297,35.5309982299805,0.564000010490417,13.8596734016053,-11.3413887023926,62.2863883972168
1100379,"RO","ALTO ALEGRE DOS PARECIS",4614,"0",39.9038461538462,12.635,85.2190017700195,33.5589981079102,0.605000019073486,11.2751584372171,-12.1280555725098,61.8505554199219
1100403,"RO","ALTO PARAISO",5844,"0",29.3799956794124,11.925,78.8570022583008,25.3939990997314,0.565999984741211,13.9739823751574,-9.71305561065674,63.3208351135254
1100452,"RO","BURITIS",3632,"0",33.3816075307748,11.169,75.2509994506836,36.8740005493164,0.486000001430511,11.2751584372171,-10.211667060852,63.8286094665527
1100502,"RO","NOVO HORIZONTE DO OESTE",7830,"0",26.5197298258087,10.901,90.786003112793,38.6059989929199,0.537999987602234,17.0203227734609,-11.6963891983032,61.9947204589844
1100601,"RO","CACAULANDIA",4542,"0",33.4199777200149,12.73,75.5230026245117,35.3380012512207,0.474000006914139,11.123081066523,-10.3391666412354,62.8952789306641
1100700,"RO","CAMPO NOVO DE RONDONIA",3263,"0",34.1312056737589,12.744,73.8290023803711,35.640998840332,0.52999997138977,10.6855918585967,-10.59694480896,63.6122207641602
1100809,"RO","CANDEIAS DO JAMARI",7855,"0",33.9356704011565,16.251,70.838996887207,31.3020000457764,0.628000020980835,6.3833448038541,-8.80972194671631,63.695556640625
1100908,"RO","CASTANHEIRAS",3313,"0",25.1680672268908,7.398,86.4970016479492,40.3520011901855,0.537000000476837,16.5711947626841,-11.4174995422363,61.9386100769043
1100924,"RO","CHUPINGUAIA",2123,"0",17.6602924634421,10.609,68.1849975585938,32.7000007629395,0.51800000667572,11.2751584372171,-12.5522222518921,60.8997230529785
1100940,"RO","CUJUBIM",2236,"0",34.56980937661,8.236,75.2320022583008,34.3660011291504,0.513999998569489,11.2751584372171,-9.36277770996094,62.585277557373
1101005,"RO","GOVERNADOR JORGE TEIXEIRA",6757,"0",27.7172705045566,11.58,78.4710006713867,44.3219985961914,0.639999985694885,15.0431034482759,-10.5249996185303,62.6438903808594
1101203,"RO","MINISTRO ANDREAZZA",6910,"0",25.7744994731296,10.41,80.120002746582,39.4900016784668,0.714999973773956,24.1392285983067,-11.0741662979126,61.5169448852539
1101302,"RO","MIRANTE DA SERRA",8181,"0",30.0380917830582,11.016,82.2239990234375,33.2229995727539,0.569000005722046,17.1582457040267,-11.0297222137451,62.6749992370605
1101401,"RO","MONTE NEGRO",6200,"0",31.03240088549,17.171,65.0540008544922,34.2200012207031,0.559000015258789,10.3475670307845,-10.2944440841675,63.3252792358398
1101435,"RO","NOVA UNIAO",3848,"0",32.1828908554572,10.673,83.0869979858398,46.0460014343262,0.507000029087067,11.2751584372171,-10.9041662216187,62.5611114501953
