"participantid","vote_prefer","treat","actor","female","inscrite","cousin_subject","education","vecu_ailleurs"
"612_v1",3,0,1,0,1,"0",5,1
"616_v1",4,0,1,1,1,"0",4,1
"616_v2",6,0,2,1,1,"0",4,1
"617_v1",2,0,99,1,1,"0",5,1
"619_v1",5,0,99,0,1,"0",5,1
"619_v2",4,1,99,0,1,"1",5,1
"620_v1",3,0,99,0,1,"0",2,1
"621_v1",2,0,99,1,1,"1",2,1
"624_v2",4,0,99,0,1,"0",4,1
"625_v2",3,1,99,0,1,"0",4,0
"626_v2",4,0,99,0,1,"0",4,1
"627_v1",1,0,99,1,1,"0",4,1
"628_v1",5,0,1,1,1,"0",NA,1
"629_v2",2,1,1,0,1,"0",1,1
"633_v1",1,0,1,0,0,"1",3,1
"633_v2",4,1,2,0,0,"0",3,1
"635_v1",7,1,2,1,1,"0",5,1
"636_v1",5,1,1,0,1,"1",1,0
"637_v1",3,0,2,1,1,"1",1,1
"638_v2",4,0,2,0,1,"0",3,1
"643_v2",4,1,2,0,1,"1",4,1
"645_v1",3,1,1,1,1,"1",5,1
"645_v2",2,1,2,1,1,"1",5,1
"646_v1",4,0,2,0,1,"0",5,0
"647_v2",3,0,2,0,1,"0",NA,1
"649_v2",6,0,1,1,1,"0",NA,1
"651_v2",2,1,2,0,1,"1",5,1
"652_v2",3,0,1,0,1,"0",3,0
"653_v1",4,1,1,0,1,"1",5,1
"655_v1",3,0,1,0,0,"0",3,1
"656_v2",2,1,1,1,1,"0",2,1
"657_v1",2,1,1,1,1,"0",5,0
"659_v2",4,1,1,1,1,"0",NA,1
"660_v1",5,1,1,0,1,"0",1,1
"667_v1",3,1,1,1,1,"0",3,1
"669_v1",2,0,1,0,1,"0",1,1
"672_v2",4,0,2,NA,1,"0",NA,1
"673_v1",4,1,2,1,1,"0",5,1
"676_v2",5,1,1,1,1,"0",3,1
"677_v1",3,0,1,NA,1,"0",5,1
"679_v2",3,1,1,1,0,"0",NA,1
"682_v1",4,1,1,0,0,"0",1,1
"684_v1",5,1,1,0,NA,"1",4,1
